isim,tel,adres
Starboard Restaurant,+90 212 310 1500,Ciragan Cad.Radisson Blu Bosphorus Hotel No:46
Sushico Uniq İstanbul Maslak,90-2122766415,"Maslak Ayazağa Caddesi (Ayazağa Cendere Yolu), 4/c"
Alacati Muhallebicisi,2165114033,Marinturk Istanbul City Port
Van Ahtamar Kahvaltı Salonu,2450267,"İstiklal Cad. Mis Sok. No:26 K:2 Tarlabaşı, Beyoğlu"
Ops Cafe Karakoy,"
",Mumhane Caddesi Nimet han 45B
Galataturka Cafe Bar,5110861,Yeni Galata Koprusu No:1
Hünkar,2878470,Etiler Mah. Nispetiye Cad. Ortaklar Apt. No:52 D:2
Özsüt,3958484,Postahane Mah. Taaffuzhane Cad. No:60 Tuzla
Mezzaluna,902123455500,Istinyepark AVM
Kardesim Kebap,3266678,Kosuyolu Cad. No:63
Sensus,2455657,Şahkulu Mah. Büyük Hendek Cad. Anemon Galata Hotel No:5 K:Zemin Arapcami
Den Cafe & Restoran,2242470,Mim Kemal Öke Cad. Çiftçiler Apt. No:12 D:1 Şişli
Yakamoz Cafe,+(90)5355944571,Haci Mimi Mah. Bogazkesen Caddesi 19
A'pera Cafe & Brasserie,212-244-4508,"Asmalı Mescit Mah. Nergis Sok. No:8/1 İstiklal, Beyoğlu"
Paşa Döner,2124477,"Selahattin Pınar Cad. No:27/A Mecidiyeköy, Şişli"
Esinti Kirevi,4524158,Carsi Mah. Ayazma Cad. Seker Suyu Sok. No:16
Big Chefs,4666434,Osmaniye Mah. Çobançeşme Koşuyolu Bulv. Marmara Forum No:3 K:2 D:191
Galata Muhallebicisi,6023333,Merkez Mah. Tasocagi Cad. 212 Istanbul Power Outlet No:5 K:2 D:249
Dort Mevsim,212-293-3941,Istiklal Cad. 509
Donerli,0212-249-03 03,Siraselviler Caddesi No 62/B
Midpoint,5609890,6. Kısım Adnan Kahveci Bulv. Ataköy Plus Alışveriş Merkezi K:Zemin D:33 Bakırköy
Arkat Restoran,5124477,"Fethibey Cad. Taş Han No:55 K:Zemin D:1 Laleli, Fatih"
Fahrettin Usta ET Lokantasi,212 6990594,Merkez mahallesi 19 Mayis Cad. NO:1 Esenyurt IS Merkezi
Istanbul Balik Restaurant,+ 90 212 293 23 46,"Yeni Galata Koprusu AltI, Karakoy Bogaz tarafI No: 15"
DiVine Brasserie & Jazz Club,0212 231 84 69,"39 Nişantaşı Ihlamur Sokak, Şişli,"
Hanci Cafe Aile Cay Bahcesi,0216 334 6676,Üsküdar Şemsi Paşa Cad. 10
Buket Pide,212 8836912,Fatih mahallesi Metin Oktay sokak. Aydemir apt. No:11/A
Tarihi Cumhuriyet Iskembe Salonu,2927097,Huseyin Aga Mah. Duduodalari Sok. No:15/B
Mmy Tantuni,"
",Cemal Ulusoy Cd No. 21
Afacan Restaurant,2495692,İstiklal Cad.
Cafe Cadde,90 216 302 76 24 ,Bağdat Cad. No: 349
Haci Sayid,2128817050,"Fatih Mah Cengiz Topel Cad 13, Buyukcekmece"
Yeniköy Yalıer 1 Balık Lokantası,90-2122622799,"Sarıyer, Köybaşı Caddesi, 145"
Moshonis Balık Restorant,902163491656,Bağdat Caddesi no 99
Tarihi Moda Iskelesi Restaurant,4499262,Iskele Cad.
TXM People’s Cafe Brasserie,2458383,Sıraselviler Cad. CVK Hotels Taksim No:11 Beyoğlu
Fındık Kabuğunda Köfte,(212) 635 33 10 ,Mürsel Paşa Caddesi No. 89
Koyum Pide,3600366,Tutuncu Mehmet Efendi Cad. No:31 D:2
Guven Kebap & Lahmacun,4691006,Kucukbakkalkoy Mah. Isiklar Cad. No:18/B
Ruga Lobby Bar - Hotel Surmeli,212 272 11 61,Prof. Dr. Bulent Tarcan Sokak No:3 34349 Gayrettepe Istanbul / Turkiye
Gunay Restaurant,2303333,Büyükdere Cad. Beytem Plaza No:20/A
Ovalı Konya Mutfağı,4246534,Kartaltepe Mah. E-5 Karayolu Göktepe Sok. No:2 D:1 Küçükçekmece
Cafe Geyik,2913646,Cumhuriyet Cad. No:103
Safran Pub,0216 337 91 58,Osmanaga Mah. Osmancik Sokak 16/A
Wagamama,3530474,Buyukdere Cad. Kanyon Alisveris Merkezi No:185 K:Giris
Daphne Restaurant & Grill,4141800,Yesilyurt Mah. Sahil Yolu Cad. Polat Renaissance Hotel No:2
Usta,212-231-68-33,"Zorlu Center, Levazim Mh, Barbaros Bulvari Kavsagi"
Falafel Zone Cafe&Restaurant,2122511323,"Istiklal Cad, Ogut Sokak No:4, Beyoglu"
Dergah Ocakbasi,5115289,Gencturk Cad. Aga Yokusu Sok. No:29
Midpoint,3530770,"Büyükdere Cad. Kanyon Alışveriş Merkezi No:185 K:1 D:164C-165 Levent, Beşiktaş"
Cibalikapı Balıkçısı,3489363,Moda Cad. No:163/A Kadıköy
Diver,5342601,Aksemsettin Mah. Akdeniz Cad. No:6
Kurucesme Kahvesi,212 287 81 07,Kurucesme mah. muallim naci cad. No:105/B Besiktas
Arnavutkoy Balikcisi,212 262 70 90,"Koybasi Caddesi No 125, Yenikoy"
Nur Kebap,3306021,Bagdat Cad. No:51/C
Morgul Bufe,5714719,Istanbul Cad. Pelin Pasaji No:45
Veni Vidi Vici,0539 490 10 80,Imam Sdnan Sokak 2A
Kitchenette,6631415,"Barbaros Mah. Halk Cad. Palladium Alışveriş Merkezi No:8 K:Zemin Yeni Sahra, Ataşehir"
Meyhane Yare,+(90)2122454578,Asmalimescit Cad. No: 21/A Beyoglu
Yerinde Pide,216 362 0055,Suadiye Mah. Semsettin Gunaltay Sok. No:91/17 Aysekadin- Kadikoy
Pan Karaköy,2122434352,Kemankes Mh. Necatibey Cd. Dosemeci Sk. No:5
Antik Restaurant,+90 212 882 3333,Albatros Mevki Kordonboyu Cad. No:1
Yüksel Balık,5733443,Yat Limanı Cad. No:2 Bakırköy
Sahan Restoran,+90 216 315 3636,Barbaros Mah. Halk Cad. No:12
Namlı Dürüm,6214414,Meclis Mah. Eski Ankara Cad. No:24/C
Mirror Restaurant & Bar,2838692,Is Bankasi Kuleleri 3. Kule
Remina restaurant,216400 00 66,Wyndham Istanbul Kalamis Marina
Giolitti,(0212) 291 26 30 ,Ortakoy Camii Karsisi
Altonita Cafe & Restaurant,+(90)02124582123,Sultanahmet Kucuk Ayasofya Mh No 16
Anne's Cafe,+(90)2122447438,Cihangir Yokusu Samanyolu Sokak
Nanna Restaurant,4171718,Sahil Yolu Cumhuriyet Cad. No:92
Babbo,"
",Bagdat Caddesi
Reks Büfe,3376467,"Kadife Sok. No:1 Caferağa, Kadıköy"
Kirpi Cafe,4645733,Kozyatağı Mah. Saniye Ermutlu Sok. Osmanbey Apt. No:6 D:4 Kozyatağı
KonyalIlar Etliekmek FIrIn Kebap,02164454242,Erenkoy
Oz Urfa Kebap Lahmacun Salonu,5373385,Besyuzevler Mah. Eski Edirne Asfalti No:276
olivo ristorante italiano,+90 212 322 3212,Belediye Caddesi Silver House No:25/E Gokturk
Yakamoz Restaurant,02163310013,İskele Meydanı No:1 Kanlıca
Yücel Et Köfte,5331918,"Millet Cad. No:80 Fındıkzade, Fatih"
Ozsut,902122929678 ,Ulucak Koyu Organize San. Blg
Pera Restoran,2380505,Abdülhak Hamit Cad. The Green Park Taksim No:50 Beyoğlu
Nupera restaurant,+90 212 245 6070,Meşrutiyet Cad. No 67/1
Okulun Mutfağı,2903560,Meydan Sok. Beybi Giz Plaza B Blok D:123-136
Kovan Firin,"
",Yasa Cd
Duran Sandwiches,5197676,Rustempasa Mah. Asmaalti Cad. Buyukbas Sok. No:3/D
La Mancha,+90-212-2571144,Muallim Naci Cad. No:107
Türk Dünyası Zinnet Restaurant,5671077,Maltepe Mah. Topkapı Kültür Parkı Türk Dünyası Kültür Evleri No:6 Fatih
Dürüm Sarayı,4574210,Bağdat Cad. No:301 Maltepe Merkez
Kenan Usta Kebap,"
",Kurabiye Sokak
Burç Kebap Salonu,5577474,Güzeltepe Mah. Bosna Bulv. No:123 Üsküdar
Şirvan,2354207,"Eskişehir Mah. Akağalar Cad. No:89 Kasımpaşa, Beyoğlu"
Deniz Yıldızı,"
",second floor of a ferry terminal at the Kadikoy pier
Westmix Cafe & Restaurant,6999931,"Üniversite Mah. Selvi Sok. Pelican Mall Alışveriş ve Yaşam Merkezi No:25 K:Zemin D:51 Gümüşpala, Avcılar"
Alaturka Fish House,+90-212-458-79-00,Akbiyik Caddesi No. 5
otto,2927015,asmalı mescid
Cinaralti Restaurant,261 4616,Mecidiye Mah. Iskele Meydani No 28
Antik Cisterna,6385858,Ordu Cad. Darphane Sok. Antik Hotel No:10 Fatih
Olivia's Pizzeria,2845724,Baslik Sok. No:22/A
KFC,"
",Buyukdere Cad. Istanbul Cevahir Alisveris ve Eglence Merkezi No:22 D:339
Sushico,6516622,Mahir Iz Cad. No:18 D:1/B
Su Kosku,4284696,Kucuk Camlica Korusu
Elite Restaurant,313 8383,Talimhane Mevki Sehit Muhtar Cad. Elite World Hotel No. 42
İlk Adım Et Lokantası,5894838,Millet Cad. No:2/A Fatih
Arşipel Balık Lokantası,+90 212 2659600,Kuruçeşme Mah. Kuruçeşme Cad. No:11
Brusko Girit Mutfagi,+(90)212 2572402,Cevdet Pasa Cad. Bagarasi Sok. 2E Bebek
Bodrum,2607414,"Sağlık Sok. No:4 Ortaköy, Beşiktaş"
Simat,(0216) 466 3424,Necip Fazil bulvari dudullu Bostanci yolu sehit sok No:52 yukari dudullu umraniye
Konuksal Kebap,5871135,Saray Meydani Cad. No:3/A
Şampiyon Kokoreç,2596268,Dolmabahçe Cad. No:3/A Beşiktaş Merkez
Kadıköy Saray Muhallebicisi,3476755,Rıhtım Cad. No:20 Kadıköy Merkez
teras,5209323,Yerebatan Cad. Salkimsogut Sok. Celal Sultan Hotel No:14 K:5 Fatih
Golden Kokoreç,2936035,"Sahne Sok. No:3/H Galatasaray, Beyoğlu"
Ciğerci Hulusi Moda,+(90)2167002620,"Moda Caddesi, No :145/b Moda"
Ciğerci Hulusi,3361123,Cafer Ağa Mah. Mühürdar Cad. Misbah Muhayyeş Sok. No:6 D:4 Kadıköy
Mienyu Restaurant,0 212 663 57 54,İstasyon Cd. Yeşilyalı Sk. No:4
Naif,212 251 5335,Mumhane Caddesi No:52
Kucukpazar Pidecisi,5266119,Kucuk Pazar Mah. Haci Kadin Cad. No:106
Pissti Mangalbasi,+90 (216) 417 11 31,"Turgut Ozal Bulvari, Sahilyolu C., Hatboyu Sk., No:131, Idealtepe"
Gourmet Garage,0216 358 0058 ,İnönü Caddesi No:89
Özsüt,2929678,"İstiklal Cad. No:102 İstiklal, Beyoğlu"
Cafe Zapata,90*2165500656,sakiz Sokak No:1-c caferaga moda
Filizler Köftecisi Üsküdar,+90 (216) 342 0000,Salacak Sahilili (Kız Kulesi Karşısı)
Mimolett Restaurant,245 9858,Siraselviler Caddesi No. 55/A
ET-IS Lokanta,0212 513 19 10 - 0212 526 46 81,Hocapasa sokak No:25 Sirkeci
Yasar Bafra Pide Salonu,3915030,Dogancilar Mah. Halk Cad. No:72
Cafe Feride,90 212 249 46 28,"Meclisi Mebusan Yokuşu No:17/B Fındıklı, Beyoğlu"
Gina Restaurant,212 353 54 52,Kanyon AVM No:164 A
Zıpkın Balik,+(90)212 358 51 58,Bebek Arnavutkoy Caddesi No:60/1 Arnavutkoy
Enfes Restaurant,5405656,"Menekşe, İstanbul Cad. No:29/A"
Sohretler Besiktas Koftecisi,2602560,Sinan Pasa Mah. Ortabahce Cad. Sair Leyla Sok. No:5/C
Sait Iskender,2296868,Poligon Mah. Istinye Cad. No:4
Far East,3455660,Pinar Mah. Istinye Bayiri Cad. IstinyePark Alisveris Merkezi K:Zemin D:256
Blue Topaz,2583627,"Muallim Naci Cad. Reina Night Club No:44 Ortaköy, Beşiktaş"
Cehan Celik,+90 212 517 00 04,Sultanahmet Mah. Kabasakal Cad.Arasta Carsisi No: 117
Red House Bistro,216 336 06 52,Caferaga Mahallesi Damacı Sokak No.6 Kadıkoy
Bird,2122438506,Mesrutiyet Caddesi No:103
Bahce Bufe,5711100,Incirli Cad. No:79
Elevit Lokantası,2595957,Sinan Paşa Mah. Orta Bahçe Cad. Çelebioğlu Sok. No:5 D:1
Sanat,212 244 13 09 ,Balik Pazan Nevizade Sk 11
LeMan Kültür,902164498383,Neset Ömer Sok. 9/1
Kibrit Kutusu,+90 216 449 92 29,Ali Suavi Sokak 3
Florya Sosyal Tesisi,6631867,Sahil Cad. No:1 Bakırköy
Boom Cafe,2800950,Harman Sok. Harmanci Giz Plaza K:Zemin
Meşhur Tostçu,5454569,Cengiz Topel Cad. No:25
Ezgi,0212 5188910 ,Kardiga Liman Cad. No 185 Kucukayasofya-Eminonu/Istanbul
Nur Manti,4915762,Hatboyu Cad. Karanfil Sok. No:33
Erenoglu Restaurant,2479855,Abidei Hurriyet Cad. Reha Yurdakul Sok. No:2
Ozbolu Kebap,5224663,Hocapasa Mah. Hoca Pasa Sok. No:33
Seven Kebap,330 8070,Leylak Sok. No. 6/A
Pepe Galata,+90 212 297 4278+90 212 297 4278,Sahkulu Mah. Galipdede Cad. Timarci Sok. No:5/B
Panorama Restaurant,5122350,Vidinli Tevfik Pasa Cad. Harikzadeler Sok. Hotel Zurich Istanbul No:37
Cookshop,3732173,"Teşvikiye Cad. City's Nişantaşı Alışveriş Merkezi No:162 K:-3 Teşvikiye, Şişli"
Saray Cafe Restaurant,2438985,Yeni Galata Köprüsü No:9 Beyoğlu
Turkuaz Restaurant,3135100,Topçu Cad. Lalespark Hotel No:23 Beyoğlu
Şark Sofrası,6694150,"Doğa Parkı Alanı Gölet Bölgesi Bahçeşehir, Başakşehir"
Nezih Kebap Yuvalama,2122657455,Yahya Kemal Cd. No. 24 Rumelihisarı
the beatles cafe,902122937767,hüseyin aga mah atif yilmaz cad no:15/2
Durum Bufe,5263229,Hasircilar Cad. No:62
Yazarların Evi,2122607741,"Mecidiye Mah. Değirmen Sok. No:12 Ortaköy, Beşiktaş"
Cafe Felice,+902124650525,Dunya Ticaret Merkezi
Haci Bozan Ogullari,6413240,Ahmet Kutsi Tecer Cad. No:35
Imparator Kokorec,5112013,Hobyar Mah. Hamidiye Turbe Sok. No:1 D:2
Go Mongo,3455888,Pinar Mah. Istinye Bayiri Cad. IstinyePark Alisveris Merkezi K:1 D:515
Fincan Cafe,3811350,Yalı Cad. No:8 Burgazada
Lale Lokantası,3694949,"Hasköy Cad. No:8 D:10 Hasköy, Beyoğlu"
Galata Ssembol Balik Restaurant,0212-527 8333,Eminonu Bogaz Tarafi No:8-9 Eminonu / Ist
Melekler,(212) 243 05 85,"Katip Mustafa Celebi Mahallesi, Ipek Sokak, No 1"
Izmir Restaurant & Cafe,+90 212 458 1808,Yeniceriler Cad Divan-i Ali Sk No 77/15
Flamingo,+90 212 232 6868,Asker Ocagi Cad. No:1 Taksim
Cemberlitas Muhallebicisi,(212) 638 3315,Yeniceriler Cad. No: 6/19
Bice Ristorante,3344040,Asker Ocagi Cad. Suzer Plaza No:15
Yesilkoy Balikcisi,5736789,Camozu Sok. No:6
Günaydın Köfte & Döner,3977058,Sanayi Mah. 1655. Sok. Akbatı AVM No:6
Bodrum Doner,4147078,Bahariye Cad. No:34
Fatih. Steakhouse 99,0216.384.02.52,BALKAN SOKAK BALKAN APT.NO.6/3A
Cengiz Sulu Yemek,5460247,Telsiz Mah. 84. Sok. No:36
Kömür Lokantası,6314004,Fevzi Paşa Cad. No:18 Fatih Merkez
Sultanahmet Köftecisi,2642450,Emniyet Cad. No:2/A Kağıthane
Uludağ Kebapçısı,3585958,"Nispetiye Cad. Seher Yıldızı Sok. No:17 D:1 Etiler, Beşiktaş"
Van Kahvalti Sofrasi,5419838,Bagdat Cad. No:59/B
Yakamoz hotel &restaurant,+(90)2627530633,E-5 Karayolu TavsancIl Mevkii Gebze / Kocaeli
Tarihi Bilice Borekcisi,(0212) 226 42 99,Maresal Fevzi Cakmak Cad. NO:6 / Bahcekoy
Tatlıses Çiğ Köfte,5806361,"Şenlikköf Mah. Florya Cad. No:63A Florya, Bakırköy"
Gorkem Kilis Sofrasi,6632894,Basinkoy Mah. Gunes Plaji Istanbul Cad. No:6/C
Burger King,6518494,Mahir Iz Cad. Capitol Alisveris ve Eglence Merkezi K:Zemin D:13-14
Caffe D'alfredo,3270317,Süleyman Seba Cad. No:59 Beşiktaş
Gunaydin Kofte & Doner,3888282,Idealtepe Mah. Turgut Ozal Bulv. Sahil Yolu No:117
Pita Manti Ev Yemekleri,4504892,Agabey Sok. No:10/B
Subway,3554141,Kozyatağı Mah. Atatürk Cad. No:60 D:1 Kadıköy
Galleria Köşebaşı,5609888,Bakırköy Sahil Yolu Galleria Alışveriş Merkezi Bakırköy
Yenikoy Kahvesi,(212) 299 38 10 ,Kurkcu Faik Sokak. No: 4
Tabla Restaurant,5396961701,Mesrutiyet Cad. No:67
Fish Var Balikci,2772582,Istinye Cad. No:26
Teras Restaurant,2124554455,Ahirkapi Sokak 24
Samare Restaurant & Cafe,90-216-488-3488,Ankara Cad. Kartal Sahil Yolu No:116-118
Murat Karadeniz Pide Salonu,5224908,"Hasırcılar Cad. No:63 Tahtakale, Fatih"
Gunaydin Florya Kasap & Steak House,2126630103,"Aqua Florya Avm , Zemin Kat No: 33"
Raki Balik,4784578,Cemil Topuzlu Cad. Sahil Apt. No:137 D:10
Yufkaa,2593839,"Maslak Mah. Ahi Evran Cad. Nazmi Akbacı İş Merkezi D:34-35 Maslak, Şişli"
Özgürsef kalamış,+90 216 550 0404,Kalamis Fener Caddesi No : 38/B
Hayela Ev Yemekleri,5555376,Haznedar Mah. Naci Kasim Cad. No:4
Calisto Balik Restaurant,+90 212 999 5454,Marmara Mahallesi Ulusum Caddesi numara:28 /B1
Tophane Dürümcüsü,(0212) 2441178,Boğazkesen Cad. No: 15
Yalı Balıkevi,(0 216) 553 96 43,Rumi Mehmetpasa Mah.
Caffe Nero Atatürk Havalimanı,904657780,Ataturk Havalimani Dis Hatlar Gelen Yolcu Kati
Seray Iskender,6011010,Halkali Cad. No:123 D:1
Tarihi Merkez Efendi Koftecisi,2125467680,Merkezefendi Mah. Mevlevi Hane Cad. No:5
Hanımeli Balık Restaurant,02127622989,Liman Sahil Yolu No:1
Saray Restaurant,2644301,"İnönü Cad. No:12 D:1 Çeliktepe, Kağıthane"
Fosil Karakoy,+90 507 812 8531,"Kemankes cad. No:34/C, 34200 Istanbul"
Şişli Balıkçısı,212 343 80 00,Merkez Mahallesi Koca Mansur Sok. No:68
Tarihi SubasI LokantasI,0212 5224762,Nur-u Osmaniye Camii 8
Fua Cafe & Restaurant,2197929,Maçka Demokrasi Parkı No:C Beşiktaş
8 Istanbul,0090 212 2498930,"Erol Dernek Sok. 1/1 , Beyoglu"
HD Iskender,3801171,Buyukdere Cad. Istanbul Cevahir Alisveris ve Eglence Merkezi No:22 K:6 D:377
Kebap Times Restaurant,5169380,Kutlugun Sok. Istanbul Hostel No:35
Pendik Belediyesi Güzelyali Sosyal Tesisleri,2164944314,Güzelyali Mahallesi Ankara Caddesi 72 Güzelyali Pendik
Maya AsmalImescit,2458999,AsmalImecIt MahellesI IstIklal CadessI
Park Samdan,2250710,Mim Kemal Oke Cad. No:18
Comlekte Kurufasulye,3162953,Kucukcamlica Mah. Turistik Camlica Cad. No:50
Aydın Kardeşler Köftecisi,02125888401,İmrahor Mah. İlyasbey Cad. No:109/A
Cevheri's Restaurant,5701313,Kennedy Cad. Muhtar Halit Kral Sok. No:21 K:1
Dogatepe,2122570819,Nispetiye Cad. Dogatepe Parki No:4-6
Leman Kultur Bagdat Caddesi,2163606066,Caddebostan Mah. Bagdat Cad. No 273 A1 Kadikoy
Cafe Peanut,0 212 252 50 55,Istiklal Cad. Buyukparmakkapi Sok.
Cumhuriyet Iskembe Salonu,5534474,Cumhuriyet Cad. No:17
Erkanli Restaurant,7343523,Catalca Yolu Damlica Cad. Erkanli Tatil Koyu No:9
Sini Manti,3477111,Ayarcibasi Sok. No:10 D:1
Hera,3308005,Kadife Sok. No:10 K:Giris
Neşe Köfte & Uykuluk,2592523,İşkembeci Yaver Sok. No:2 Beşiktaş
Şelale Et Lokantası,6224860,"Sarıgazi Mah. Lise Cad. No:1/B Sarıgazi, Sancaktepe"
Delta Garden Kofte Piyaz,8532720,Beylikduzu Mah. Beykoop 1. Bolge 7. Cad. B Blok D:2
Ender Kahve - Chicco D'oro,212 482 4835,"Maltepe Mh., Karacabey Sokak"
Nazar Cafe & Ev Yemekleri,4568399,38. Ada Ataşehir Bulv. Ata 3 Sitesi 5. Blok D:35 Ataşehir Merkez
Köfteci Ramiz,5720874,Halit Ziya Uşaklıgil Cad. Carousel Alışveriş ve Yaşam Merkezi No:1 K:2 D:10 Bakırköy Merkez
Damla Kebap,4563790,Baraj Yolu Cad. No:30/A
Korfez Restaurant,3236238,Dere Sok. No:14
Esenler Mersin Tantuni,6117127,Nene Hatun Mah. 101. Sok. No:8
Kafe Pi Bistro,02122589879,Barbaros BulvarI Caddesi 55/A
Natural Grill House,2125272767,"Hocapasa Mah. Ibni Kemal Cad #23, Eminonu"
Uzunya,02122040733,Demirciköy
Ziya Sark SofrasI Florya,6638840,Istanbul Cad. No:3
balkon,902122932052,asmalImescit
Lutfiye,2163865931,Fenerbahce Mah. Cemil Topuzlu Cad. No:12-A Kadikoy
Siirt Fatih Buryan Salonu,5313903,Itfaiye Cad. No:22/A
Mirror Bistro,0 216 464 27 10,Suadiye Mah. Suadiye Park Plaj Yolu A Blok K:2
Istinye Sosyal Tesisi,3230704,Istinye Cad. No:108
Bereket Konyali,2670243,Ortaklar Cad. Galipbey Sok. No:5 D:3
Asli Borek,9021649560755,fatih cad no 85
Bolulu Hasan Usta Süt Tatlıları,5118881,"Ankara Cad. No:78 Sirkeci, Fatih"
Pehlivan Kofte,2304070,Abidei Hurriyet Cad. No:139/A
Can Ocakbaşı,5198595,Demirtaş Mah. Fetva Yokuşu Sok. No:5/A
Cihangir SOCIAL,"
",Siraselviler Caddesi Gravier Apt. 72/A
Marmarion Restaurant,535-568-1913,Sekbanbasi Sok. No. 10
Kalamış Cundalı Ayvalık Balıkçısı,+(90)2165509797,Munir Nuretin Selcuk Cad. No 62 Kalamis Kadıköy
Köfteci Ramiz,5271340,Bab-ı Ali Cad. Himaye-i Ekfal Sok. No:17 Fatih Merkez
Community Kitchen,+(90)0534-6366703,Kumbaraci Yokusu #57
Ataköy Marina Park Benzin Plus,90-2125603295,"Rauf Orbay Cad., No:24/3, Kapı No:104, Ataköy Marina Park Teras"
Safa Meyhanesi,2125855594,"Yedikule Mh, Fatih"
Ziya Şark Sofrası,5127750,"Alemdar Cad. No:28/A Sultanahmet, Fatih"
Onur İskender Kebap,3599543,"İnönü Cad. No:41 D:1 Sahrayıcedit, Kadıköy"
Green Salad,4653152,Kuleli Mevki E-5 Karayolu Londra Asfaltı Airport Outlet Center
Hasan Kolcuoglu Restaurant Atasehir,+90 532 165 6565,Kucukbakkalkoy Mah. Dereboyu Cad. Emel Sk. No:11 Atasehir
Sandzak,3751324,"Sapanbağları Mah. Mimar Sinan Cad. No:30 Bahçelievler, Pendik"
View Point Restaurant,2748823,Yildiz Posta Cad. Point Hotel No:29
New Galata Imperial,90 0212 292 62 15,Yeni Galata Köprüsü Karaköy
The Upper Crust,90-212-265-0266,Küçük Bebek Cad No:6
Pitti Teras Restaurant,2439016,"Şahkulu Mah. Büyük Hendek Cad. Anemon Galata Otel No:5 Arapcami, Beyoğlu"
Fondue La Cucina,+90 212 267 2867+90 212 267 2867,Gayrettepe Mah. Pazar Sok. No:24/1 Besiktas
Maxigala,+90 (0)212 5197166,Yeni Galata Koprusu Eminomu
Balikci Kenan,8724419,Plaza Is Merkezi
Uludağ Lokantası,6318255,Ali Kuşcu Mah. Aslan Hane Sok. No:8/A Fatih Merkez
Mio Galata,0212 243 95 01,Yeni Galata Köprüsü Altı.No: KH 1
Rigatoni,02123732725,Mahalle City's Nisantasi AVM
Saray Lokantasi,2163462262,Rihtim Caddesi Yogurtcu Sukru Sokak No:3/A
Pilav House,3912954,Mimar Sinan Mah. Selami Ali Efendi Cad. No:31/A
Burak Pide,6951695,Merkez Mah. Cigdem Cad. No:45
Beylik Iskembe,8762833,Birlik Sanayi Sitesi 2. Cad. Kelesoglu Plaza D:11
Çiğköfteci Hüseyin Usta,4284102,Sarayardı Cad. No:17/D
Namı balık,5354679131,"Nam-ı Balık Taksim, Istanbul, Turkey address Katip Mustafa Çelebi Mahallesi, İstiklal Caddesi, Büyükparmakkapı Sokak, No 13,"
the burger company,2164635544,"Kaya Sultan sok.No.73 Kozyatağı,Kadıköy"
Kebapci Asim Usta,4665548,Necip Fazli Mah. Kemerdere Mevki Alemdag Cad. No:934
Öz Konak,2491307,Kılıç Ali Paşa Mah. Akarsu Cad. No:46/B Beyoğlu
Nevzat Usta, 0212 5136244,"Saka Mehmet Usta Sokak, No 15/A, Eminönü"
Pizza Pizza,"
",Işıklar Cad. Sevinç Apt. No:18/A Ataşehir Merkez
Cafe Gorus,212 233 9026,"Inonu Mh,Babil Sok"
Serbetci Ali Baba,216 348 22 45 ,Hasanpaşa Kurbağalı Dere Cad No:74/A Kadıköy (Hasanpaşa Polis Karakolu Karşısı)
Seddas Cafe,5322910130,Kumbaraci Yokusu
By Asi Chef's,2125439744,Sahil Yolu Kennedy Cad No:37/B Bakırköy
Fahriye Cafe,"
","Moda caddesi, Leylek sokak, No:3/A, Kadıköy"
zeldaZonk,05303823822,Karakoy
Mavi Konak,4921736,Hakimiyeti Milliye Cad. No:13 Üsküdar Merkez
Roka Balık,90 216 339 7172,"Muhittin Üstündağ Cad.Muhiddin Üstündağ Cd. No: 59 (Koşuyolu Parkı karşısı), Koşuyolu Kadıköy"
Lacin Cafe Bistro,5987544,Senlikkoy Mah. Florya Asfalti No:25/B
Oz Neco Iskembe Salonu,5515388,Mahmutbey Yolu Meric Sok. No:24
Alegria Club,2451307,Tomtom Mah. Akarsu Sok. D:1-2
Meshur Balat Iskembe,5348460,Abdulezel Pasa Cad. No:2
Morini,+90 212 353 676,"Zorlu Center, Levazim Mh, Barbaros Bulvari Kavsagi"
Husnu Ala,902125116688,"Demirtas Mahallesi Fetva Yokusu NazIr Izzet Efendi Sokak No:12 Suleymaniye, Istanbul, Turkiye"
Harvard Cafe,"
",Seher Yıldız Sok. No:6
Seoul Korean Restaurant,2124580621,Akbiyik Caddesi No: 33 Sultanahmet/Fatih/ISTANBUL
Balıkçı,216 4178395-96 ,Eski Bağdat Cad. Çamlık Çıkmazı No:6 D:1
Giritli İdilica,0212-244-46 37,Palaska Sokak 1/1
Balikosman restaurant,2128832138,Iskele caddesi No.3 Mimarsinan Buyukcekmece
Kor Agop,5172334,Sehsuvarbey Mah. Ordekli Bakkal Sok. No:7
Hardal,2438360,Asmalimescit Mah. Mesrutiyet Cad. Minare Sok. No:12
Subway,5121116,Bab-i Ali Cad. No:50
Turvan Restaurant,0090.212.5201997,Hocapasa Sok. No: 36
Cute Cafe Kırım Yemek Evi,+90 531 555 6217,Kazancı Yokuş No:19
Hai! Sushi,5410354,Amiral Fahri Koruturk Yat Limani
Kınacı İşkembe Salonu,0212 580 6858 ,Yeşilova Mh. Kahramanlar Cad. No:2
Adanalı,4285600,"Mustafa Kemal Paşa Mah. Parseller Mevki E-5 Karayolu Hilal Sok. No:43 Gümüşpala, Avcılar"
Asmali Edesa Kebap,6313658,Iskender Pasa Mah. Sofular Cad. No:103
Hayal Kahvesi Saf Bistro,2827740,Cumhuriyet Cad. Club Sporium No:4 D:6
Kadikoy Cicek Pasaji,+(90)2163486363,Caferaga Mah.
Vitriol,02164678292,Caddebostan İskele Sokağı 18
